X,Y,bio_9,bio_8,bio_7,bio_6,bio_5,bio_4,bio_3,bio_2,bio_19,bio_18,bio_17,bio_16,bio_15,bio_14,bio_13,bio_12,bio_11,bio_10,bio_1,sp
117.42400,23.90300,15.99210,27.09130,21.31430,9.69048,31.00480,556.91400,31.11040,6.63095,118.00000,488.00000,85.00000,589.00000,64.75650,27.00000,218.00000,1311.00000,13.92380,27.24440,20.90950,invasive
120.25000,33.58333,2.70067,25.28330,32.54800,-2.61600,29.93200,919.46000,26.40100,8.59300,84.00000,515.00000,84.00000,515.00000,78.16480,26.00000,228.00000,972.00000,2.70067,25.28330,14.25350,invasive
120.40000,33.50000,2.78133,25.32730,32.52000,-2.50000,30.02000,919.43600,26.21160,8.52400,85.00000,518.00000,85.00000,518.00000,75.96500,26.00000,227.00000,995.00000,2.78133,25.32730,14.28070,invasive
118.61667,24.86667,19.10330,22.56130,22.01600,9.48800,31.50400,610.41800,27.42100,6.03700,207.00000,367.00000,83.00000,488.00000,59.96580,25.00000,196.00000,1145.00000,13.24670,27.93470,20.71150,invasive
119.06200,37.87200,-0.64400,25.67930,37.46400,-6.70000,30.76400,1067.20000,25.52850,9.56400,20.00000,400.00000,20.00000,400.00000,115.93600,6.00000,192.00000,599.00000,-0.64400,25.67930,13.19770,invasive
121.38000,30.75000,8.46667,26.26670,28.90000,1.60000,30.50000,842.24800,21.19380,6.12500,138.00000,367.00000,129.00000,396.00000,48.12910,41.00000,165.00000,1028.00000,5.85000,26.35000,16.26250,invasive
-46.83333,-24.16667,19.74670,25.80580,14.93000,14.85000,29.78000,246.21100,51.76940,7.72917,266.00000,817.00000,266.00000,817.00000,42.67070,84.00000,289.00000,2054.00000,19.74670,25.80580,22.76040,invasive
119.00000,37.93333,-0.87540,25.48650,37.24760,-6.83810,30.40950,1069.94000,24.92220,9.28294,19.00000,398.00000,19.00000,398.00000,116.61100,6.00000,191.00000,593.00000,-0.87540,25.48650,12.96850,invasive
119.06700,37.90500,-0.58733,25.68800,37.43600,-6.61600,30.82000,1065.69000,25.56900,9.57200,20.00000,402.00000,20.00000,402.00000,115.47800,6.00000,193.00000,603.00000,-0.58733,25.68800,13.20530,invasive
130.66400,32.62000,8.75758,23.00450,30.53180,0.90455,31.43640,787.23100,30.17340,9.21250,205.00000,710.00000,199.00000,936.00000,64.86780,57.00000,379.00000,1966.00000,6.64470,26.03110,16.43840,invasive
