Long,Lat,Bio05,Bio04,Bio03,Bio02,Bio01,Bio19,Bio18,Bio17,Bio16,Bio15,Bio14,Bio13,Bio12,Bio11,Bio10,Bio09,Bio08,Bio07,Bio06,sp
165.25,-21.75,27.9,0.00737,0.4919,5.902,22.11,277.2,503.7,235.2,510.8,0.29,15.54,43.74,1448,19.26,24.83,20.02,24.73,12,15.9,1
-159.75,-21.25,29.1,0.005,0.5713,5.885,23.93,385.6,718.7,380,727.2,0.2772,24,61.01,2187,22.07,25.89,22.1,25.69,10.3,18.8,1
165.25,-21.25,27.4,0.007,0.4967,5.752,21.8,264,520.9,228.8,525.6,0.3229,14.99,43.06,1420,19.13,24.39,20.3,24.36,11.58,15.82,1
164.75,-20.75,27.29,0.00665,0.5144,5.91,21.7,279.4,561,252.3,565.5,0.3165,16.98,45.84,1532,19.16,24.15,19.87,24.11,11.49,15.8,1
165.25,-20.75,27.59,0.00684,0.5263,6.353,21.83,306.2,593.3,270.8,600.7,0.3046,17.67,50.93,1658,19.2,24.34,19.69,24.25,12.07,15.52,1
167.25,-20.75,29.2,0.00675,0.5388,6.623,23.41,272.3,615.4,242.2,624.2,0.3648,15.65,55.36,1611,20.85,25.95,21.42,25.85,12.29,16.91,1
57.25,-20.25,28.6,0.00677,0.5794,7.293,22.42,285.4,792.7,228.6,792.7,0.4835,15.8,66.11,1863,19.83,24.87,21.11,24.87,12.59,16.01,1
57.75,-20.25,28.9,0.00647,0.5774,6.692,23.1,319.8,785.7,238.7,788.3,0.4417,16.07,66.07,1960,20.66,25.48,21.78,25.47,11.59,17.31,1
48.75,-19.75,29.7,0.00722,0.5691,8.23,22.9,492,1031,366,1037,0.3925,22.39,83.43,2648,20.06,25.48,21.61,25.47,14.46,15.24,1
169.25,-19.75,28.1,0.00613,0.5699,6.945,22.19,321.7,769.6,313.4,782,0.3664,21.22,69.03,2008,19.89,24.53,19.99,24.47,12.19,15.91,1
-169.75,-19.25,28.9,0.00396,0.6095,5.6,24.34,342.3,801.3,338.9,809.8,0.3576,20.91,74.55,2169,22.83,25.87,22.85,25.86,9.187,19.71,1
169.25,-19.25,28.4,0.00584,0.5811,6.911,22.58,334,808.3,326.4,820.8,0.3704,21.96,72.51,2101,20.37,24.81,20.46,24.74,11.89,16.51,1
169.25,-18.75,28.9,0.0054,0.5955,6.786,23.33,346.2,841.7,340.1,854.9,0.3677,23.31,74.59,2193,21.27,25.37,21.34,25.32,11.4,17.5,1
177.75,-18.25,29.1,0.00456,0.6192,6.308,24.01,362.7,1124,362.7,1129,0.4454,24.91,106.4,2796,22.27,25.73,22.27,25.72,10.19,18.91,1
178.25,-18.25,29.3,0.00457,0.6315,6.441,24.14,352.9,1109,352.5,1109,0.452,24.21,104.3,2728,22.43,25.88,22.44,25.88,10.2,19.1,1
168.25,-17.75,29.2,0.005,0.6086,6.694,23.78,381.6,909.3,376.2,921.2,0.3608,25.49,78.98,2374,21.91,25.68,21.95,25.67,11,18.2,1
177.75,-17.75,28.5,0.00426,0.6523,6.776,23.37,369.3,1188,368.8,1193,0.4543,25,111.3,2935,21.72,24.96,21.73,24.96,10.39,18.11,1
168.25,-16.75,29,0.00422,0.6547,6.743,23.93,431.8,965.4,428,978,0.3281,30.82,81.04,2618,22.32,25.5,22.33,25.44,10.3,18.7,1
179.25,-16.75,30.35,0.00367,0.7308,8.868,24.35,341.8,1090,341.6,1128,0.4617,24.07,100.6,2747,22.93,25.71,22.93,25.63,12.14,18.22,1
167.25,-16.25,28.59,0.00376,0.6859,6.784,23.67,475,982.4,461.4,995.2,0.3008,34.1,79.63,2758,22.24,25.05,22.31,25.01,9.89,18.7,1
168.25,-16.25,28.49,0.00392,0.6766,6.892,23.39,459.2,994,456.3,1006,0.3109,33.5,82.41,2749,21.91,24.85,21.94,24.8,10.19,18.3,1
166.75,-15.25,28.2,0.00349,0.6897,6.477,23.63,471.5,977.7,460.7,984.1,0.2992,32.85,80.39,2728,22.3,24.9,22.33,24.89,9.39,18.81,1
167.25,-15.25,28.99,0.00294,0.7165,6.65,24.43,520.1,1020,516,1034,0.2711,37.98,82.84,2966,23.28,25.49,23.29,25.46,9.281,19.71,1
-171.75,-14.25,30.3,0.0017,0.787,5.824,26.58,453.7,968,440.3,1048,0.3259,30.05,90.86,2952,25.87,27.17,25.94,27.11,7.4,22.9,1
-170.75,-14.25,30.2,0.00169,0.7869,5.816,26.54,438.4,948.8,435.6,1035,0.3263,29.36,89.56,2893,25.85,27.15,25.86,27.07,7.39,22.81,1
-172.75,-13.75,30.5,0.00153,0.7835,5.79,26.78,471,949.8,460.5,1028,0.3,32.67,87.63,2985,26.15,27.31,26.16,27.24,7.39,23.11,1
-172.25,-13.75,30.4,0.00155,0.7962,5.807,26.77,470.3,943,459.6,1063,0.3145,31.95,91.22,3027,26.13,27.3,26.15,27.2,7.293,23.11,1
-171.75,-13.75,30.4,0.00147,0.8112,5.84,26.76,470.5,961.1,459.7,1103,0.3305,31.44,95.33,3070,26.16,27.28,26.18,27.17,7.2,23.2,1
105.75,-10.25,31.48,0.00191,0.839,10.64,25.6,361.2,819,361.2,824.3,0.3085,25.24,70.34,2572,24.73,26.19,24.73,26.15,12.68,18.8,1
159.75,-9.25,29.69,0.00143,0.8282,7.76,25.08,607.6,839.7,598.7,1009,0.2334,39.19,82.37,2969,24.48,25.59,24.55,25.36,9.371,20.32,1
140.25,-8.75,32.5,0.00223,0.7981,8.939,27.09,401.4,752.3,397,1003,0.3704,26.91,85.52,2639,26.13,27.69,26.16,27.6,11.2,21.3,1
112.75,-8.25,31.97,0.00179,0.831,11.43,25.29,303.9,897.2,300.3,1030,0.4218,15.67,86.67,2703,24.49,25.88,24.5,25.6,13.76,18.21,1
157.25,-8.25,32.2,0.00195,0.7752,8.662,26.56,847.3,857.4,753,1113,0.1676,54.29,92.8,3567,25.68,27.17,26.88,26.97,11.17,21.03,1
108.75,-7.75,31.47,0.00098,0.858,8.63,26.67,529.5,797.2,529.5,1055,0.2594,28.21,90.08,3120,26.24,26.96,26.24,26.82,10.06,21.41,1
109.25,-7.75,31.68,0.00112,0.8448,8.589,26.82,364.9,718.4,356.8,988.5,0.3604,23.74,86.69,2704,26.34,27.13,26.34,27.05,10.17,21.51,1
72.25,-7.25,31.1,0.00237,0.6925,4.847,27.43,505.7,577.6,438.5,779.2,0.2242,32.09,66.26,2428,26.5,28.33,26.74,27.82,7,24.1,1
107.25,-7.25,31.28,0.00101,0.8975,12.55,24.4,308.7,901.4,308.7,992.5,0.3938,20.31,84.82,2884,24,24.66,24,24.51,13.98,17.3,1
108.25,-7.25,31.36,0.00088,0.8829,10.91,25.22,313,913.8,308.4,1093,0.4243,17.64,86.83,2959,24.87,25.44,24.87,25.22,12.35,19.01,1
109.25,-7.25,31.47,0.00106,0.8734,10.71,25.54,369.3,1169,362,1576,0.4587,21.96,132.8,4189,25.13,25.88,25.14,25.45,12.26,19.21,1
109.75,-7.25,31.4,0.00103,0.8783,11.84,24.88,260.4,1166,260.4,1544,0.5621,16.79,129.1,3656,24.46,25.18,24.46,24.82,13.48,17.92,1
