X,Y,Bio05,Bio04,Bio03,Bio02,Bio01,Bio19,Bio18,Bio17,Bio16,Bio15,Bio14,Bio13,Bio12,Bio11,Bio10,Bio09,Bio08,Bio07,Bio06,sp
-47.25,-24.25,29.5,0.00795,0.5377,8.728,21.52,284.2,687.2,276.1,687.2,0.3485,18.99,56.76,1820,18.65,24.69,18.69,24.69,16.23,13.27,Native
-43.25,-23.25,30.6,0.00701,0.5749,9.043,22.67,201.3,579.1,201.3,594.9,0.3978,14.39,49.93,1592,20.19,25.46,20.19,25.28,15.73,14.87,Native
-39.75,-15.25,29.6,0.00415,0.6696,8.122,23.75,289.4,404.8,279.4,410.8,0.1633,17.25,32.24,1398,21.99,25.13,22.49,24.86,12.13,17.47,Native
-39.25,-15.25,29.7,0.00397,0.6529,7.463,24.25,406.1,463.6,376.7,477.1,0.09817,24.39,39.14,1733,22.57,25.56,23.32,25.47,11.43,18.27,Native
-67.75,-14.75,30.69,0.00431,0.6938,9.616,24.41,223.6,578.6,203.9,774.6,0.5,14.38,64.25,1823,22.43,25.64,23.01,25.29,13.86,16.83,Native
-39.25,-14.75,29.7,0.00362,0.6429,7.084,24.44,446.6,472.6,389.8,515.6,0.1085,27.34,41.45,1817,22.92,25.69,23.87,25.28,11.02,18.68,Native
-67.75,-14.25,31.2,0.00424,0.6896,9.633,24.88,245.6,563.3,207,815.4,0.5038,14.43,68.66,1922,22.91,26.06,23.77,25.66,13.97,17.23,Native
-70.25,-12.75,30.6,0.00291,0.7623,10.25,24.24,627.6,1341,560.4,1539,0.3723,36.76,126.7,4062,22.9,24.99,23.35,24.86,13.45,17.15,Native
-69.25,-12.75,31.9,0.00332,0.7392,10.77,25.06,276.3,744.8,249.4,1038,0.5067,16.58,82.45,2461,23.55,26.03,23.67,25.66,14.57,17.33,Native
-72.75,-11.75,29.9,0.00253,0.7724,10.45,23.63,306.2,780.6,294.4,875.8,0.4025,19.71,68.91,2292,22.47,24.3,22.6,24.17,13.53,16.37,Native
-70.75,-11.75,30.97,0.00285,0.7539,10.7,24.52,413,1002,383.3,1142,0.395,26.84,91.55,3008,23.22,25.3,23.52,25.17,14.19,16.78,Native
-75.25,-10.25,28.89,0.00139,0.8376,11.58,22.35,273.2,688.4,268.3,855.7,0.415,18.46,69.51,2247,21.78,22.84,21.79,22.49,13.83,15.06,Native
-75.25,-9.25,30.5,0.00133,0.8456,12.15,23.56,292.6,623.9,265,788.6,0.3931,17.41,62.76,2180,23.15,24.09,23.27,23.49,14.37,16.13,Native
-74.25,-9.25,32.37,0.00152,0.8221,10.8,26.03,301,614.1,291.2,790.3,0.3707,20.37,64.48,2215,25.36,26.52,25.51,26.24,13.14,19.23,Native
-74.75,-8.75,32.4,0.0013,0.8364,11,26.14,283.8,573.5,256.7,687.1,0.3565,17.13,56.26,2015,25.57,26.53,25.7,26.25,13.15,19.25,Native
-73.25,-8.75,32.47,0.00158,0.799,10.79,25.98,265.8,582,249.4,755.7,0.3879,16.75,61.15,2110,25.31,26.54,25.39,26.04,13.51,18.96,Native
-72.75,-8.25,32.7,0.0016,0.8029,10.55,26.51,260.1,633,241.9,770.8,0.395,15.5,63.94,2140,25.8,27.05,25.87,26.63,13.14,19.56,Native
-75.25,-7.25,33.08,0.0015,0.8311,11.16,26.63,254.2,496.8,239.8,581.3,0.3075,15.22,46.74,1754,25.99,27.12,26.09,26.63,13.42,19.66,Native
-73.75,-7.25,32.78,0.00138,0.8154,10.77,26.4,272.9,534.3,250,665.8,0.3347,14.92,55.32,1956,25.82,26.85,25.9,26.39,13.21,19.57,Native
-75.75,-6.25,33.48,0.00141,0.8443,11.09,27.02,304.1,474.7,277.2,564.5,0.2503,18.31,45.8,1792,26.41,27.46,26.48,27.06,13.13,20.35,Native
-76.75,-5.75,31.5,0.00117,0.88,12.2,24.51,284.9,433,275.3,501.6,0.2203,19.6,43.7,1611,24.09,24.98,24.11,24.39,13.86,17.64,Native
-78.25,-4.25,30.8,0.001,0.8896,14.22,22.38,434.7,429.2,398,551.8,0.1307,27.37,46.67,1852,21.98,22.73,22.38,22.37,15.99,14.81,Native
-77.25,-4.25,32.8,0.00128,0.8816,12.32,25.75,637.1,552.1,548.5,747.6,0.1283,39.44,60.87,2505,25.17,26.15,26.14,25.78,13.97,18.83,Native
-74.25,-4.25,32.39,0.00123,0.8616,10.14,26.54,491.9,643.7,471.5,723.3,0.1745,31.13,61.41,2506,26.01,26.89,26.07,26.51,11.77,20.61,Native
-73.25,-4.25,32.26,0.00117,0.8573,9.644,26.6,484.3,658.3,468.9,784.3,0.2062,33.19,64.85,2613,26.09,26.98,26.13,26.64,11.25,21.01,Native
-69.75,-4.25,31.67,0.00093,0.8713,9.562,26.04,479.7,838.4,399.1,844.4,0.2747,26.87,68.63,2708,25.64,26.32,25.83,26.24,10.97,20.7,Native
-78.25,-3.75,30.1,0.00105,0.8889,14.49,21.56,456.8,429.5,399.7,591.2,0.1591,27.37,48.75,1920,21.09,21.84,21.54,21.66,16.3,13.8,Native
